,DEBin,DEexp,CoDE,D-SHADE,EPSDE,JADE,L-SHADE,NBI..ES,SHADE11,SaDE,dynNP-jDE,iCMAES-ILS
F1,0,0,0,0,0,0,0,0,0,2.5523185874,2.16932408211149E-07,0
F2,0,0,0,0,0,0,0,0,0,0,0,0
F3,0,0,0,0,0,0.0061659368,0,0,0,0,0,0
F4,21.5699,21.9087,10.4826142934,30.7734858177,0,27.6186789086,29.4095534696,2.8198864768,29.4945614566,18.0850398784,3.3229206052,14.3852921475
F5,20.2185,20.1419,18.4489901182,17.7268744007,20.0499565405,17.2676724191,14.1455983633,18.0702454036,18.0061827299,15.7840675315,15.9500415847,14.6543978013
F6,0.5839,0.1843,1.65254552672088E-06,0,3.0415621869,0.1755220197,0.0175400641,0.3305270985,0,0,0,0
F7,0.0366,0.0358,0.0375906649,0.0053139273,0.0175738115,0.0118615958,0.0030429237,0,0.0097818861,0.0072428745,0.0049691893,0
F8,4.3524,0.0398,0,0,0,0,0,3.6972501813,0,0,0,0.2536577111
F9,11.9865,8.7933,3.8822907289,3.0826834295,3.6887332129,3.5070887497,2.344597678,0.326222014,3.1407481567,3.5837731043,3.8578530972,0.0975487633
F10,51.953,11.478,0.0355133096,0.0489838753,0.0440854878,0.0061229844,0.0085721782,91.6179225313,0.0122459688,0.0195935501,0.0024491938,122.0401124998
F11,444.452,555.432,75.97028827,54.9344512263,323.1316686571,83.6964918713,32.055826349,116.8327825644,63.1801993237,196.4226016765,136.2141998624,8.5850809801
F12,0.426,0.439,0.0433839876,0.0529084306,0.3210496968,0.2501378312,0.0681671385,0.0100833433,0.1364084116,0.4350190349,0.3111217612,0.0650093797
F13,0.114,0.112,0.0797987518,0.0489190311,0.1223680668,0.0839677932,0.0515619667,0.010894762,0.073996527,0.1252053565,0.1189658945,0.0091148563
F14,0.176,0.163,0.1071541378,0.0900969438,0.1363222239,0.1105412155,0.081361704,0.2824303933,0.1055165522,0.1857701461,0.1352218727,0.1545591085
F15,1.774,1.241,0.6523180198,0.4027667033,0.7538668012,0.5782542708,0.3660991591,0.5467188825,0.5051689656,0.7903287228,0.7815061018,0.7233311235
F16,2.339,2.353,1.1291916406,1.3390288512,2.5412985701,1.6508403475,1.2407967834,2.5295163003,1.5571401888,1.9669671832,1.5944840344,1.9070502497
F17,16.406,8.49,2.6621315275,3.3813450543,53.2895801695,30.9109611068,0.9766637611,38.8964541152,1.5576914381,28.3335977004,2.622821365,21.0348886039
F18,0.54,0.554,0.430562228,0.4749765157,1.1971258083,0.238780539,0.2440927767,3.5766693718,0.2369542912,1.6451056175,0.4409595631,0.5259199747
F19,0.311,0.453,0.0744713059,0.2050414984,1.4319443123,0.2549178006,0.0773000324,0.8276950139,0.1916908903,0.0668896409,0.1218315053,0.7076957291
F20,0.204,0.066,0.0239118917,0.2733571191,0.1650332637,0.3240730933,0.1848826079,1.3167908894,0.2433489516,0.1076009171,0.0414788094,0.8040941367
F21,,,0.1631363232,0.52756825,1.7850402052,1.576938046,0.4080689873,16.7413588166,0.3284921387,1.25633741,0.1989670961,3.2136877397
F22,,,0.0549714241,0.0696722348,20.1514653138,0.1691184898,0.0441028809,17.8552067344,0.2673337654,0.052887989,0.0220987014,18.2511939535
F23,,,329.4574747107,329.4574747107,329.4574747107,329.4574747107,329.4574747107,315.6103780454,329.4574747107,329.4574747107,329.4574747107,249.5901521528
F24,,,112.3106175077,108.6718809877,111.3047960576,109.0400998627,107.489641746,106.5093425528,109.0179622421,109.0073833692,109.6522299611,103.5341288095
F25,,,132.9560807598,128.2035010625,195.8031254608,128.9138291776,132.7388149432,138.896368363,125.3433666356,142.4975032943,115.1961116629,126.2849341324
F26,,,100.0805756329,100.0490896298,100.1391390348,100.093363846,100.0500470972,100.0117037932,100.075889342,100.1259090203,100.0998731382,100.0123984605
F27,,,107.3438194225,42.627843798,355.8091478108,145.0335948359,58.0639304539,201.8617778195,83.6524395539,78.047597752,7.5413644434,104.8767951099
F28,,,359.9291523891,381.069248333,306.245503361,393.8885503425,380.8104889196,358.1148832058,398.5114453588,378.8817112641,362.9119630678,361.203614221
F29,,,218.3845529518,222.1191574563,201.9013239258,247.115353707,221.986656904,219.7200925506,222.1022970318,219.888885946,222.1186944992,222.3199914716
F30,,,463.7830317741,464.9069690498,232.5855583644,484.1085965698,464.8828114285,483.412429846,471.0193556495,494.0042656883,468.9671947201,470.8215609626
